,tract,med_hh_income,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,COMM,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
77887,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77878,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77888,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77881,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77882,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77883,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77884,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77885,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77886,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77880,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77899,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77879,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77891,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77889,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77890,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77897,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77896,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77895,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77894,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77893,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77892,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
77898,06037206303,4918.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
91498,06037206302,7193.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,1375.0,431.0,944.0,882.0,288.0,491.0,22.0,66.0
91497,06037206302,7193.0,Extremely Low Income,Yes,Yes,Yes,District 1,Wholesale District,1375.0,431.0,944.0,882.0,288.0,491.0,22.0,66.0
90248,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90245,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90246,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90249,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90256,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90255,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90253,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90252,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90251,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90250,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90257,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90254,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90247,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90258,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90259,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90262,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90261,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90264,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
90265,06037224702,9722.0,Extremely Low Income,Yes,Yes,Yes,District 2,University Park,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
