,tract,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
0,06037101110,74625.0,1505.0,4926.0,1381.0,3545.0,3368.0,2840.0,65.0,7.0,434.0
1,06037101122,93125.0,1341.0,3728.0,542.0,3186.0,3067.0,2614.0,31.0,7.0,392.0
2,06037101220,55682.0,1430.0,3344.0,1081.0,2263.0,2162.0,1751.0,34.0,4.0,352.0
3,06037101221,46274.0,1513.0,3444.0,1178.0,2266.0,2175.0,1840.0,73.0,3.0,246.0
4,06037101222,30016.0,969.0,2808.0,1040.0,1768.0,1690.0,1455.0,76.0,3.0,148.0
5,06037101300,87066.0,1419.0,4269.0,483.0,3786.0,3650.0,3251.0,24.0,1.0,352.0
6,06037101400,66210.0,1336.0,3898.0,731.0,3167.0,2994.0,2597.0,40.0,10.0,320.0
7,06037102103,59005.0,711.0,2107.0,419.0,1688.0,1622.0,1407.0,46.0,1.0,140.0
8,06037102104,98973.0,1340.0,3906.0,556.0,3350.0,3219.0,2719.0,83.0,1.0,399.0
9,06037102105,82438.0,543.0,1855.0,1028.0,827.0,776.0,568.0,20.0,1.0,177.0
10,06037102107,83200.0,1232.0,3984.0,1149.0,2835.0,2704.0,2328.0,87.0,5.0,242.0
11,06037103101,109000.0,930.0,2712.0,514.0,2198.0,2103.0,1879.0,26.0,6.0,183.0
12,06037103102,71038.0,1664.0,4752.0,1073.0,3679.0,3501.0,3026.0,22.0,5.0,430.0
13,06037103201,73844.0,1557.0,4676.0,1691.0,2985.0,2825.0,2397.0,110.0,11.0,279.0
14,06037103202,106125.0,697.0,2026.0,695.0,1331.0,1255.0,972.0,128.0,6.0,126.0
15,06037103300,113568.0,1259.0,3953.0,860.0,3093.0,2975.0,2650.0,53.0,5.0,233.0
16,06037103401,109271.0,1017.0,2516.0,530.0,1986.0,1886.0,1586.0,33.0,9.0,242.0
17,06037103402,112306.0,1379.0,4075.0,1183.0,2892.0,2726.0,2378.0,56.0,8.0,270.0
18,06037104103,102128.0,859.0,3811.0,2651.0,1160.0,1095.0,416.0,389.0,1.0,254.0
19,06037104105,50483.0,1525.0,5999.0,4813.0,1186.0,1106.0,376.0,280.0,6.0,407.0
20,06037104108,51207.0,1340.0,5829.0,4799.0,1030.0,967.0,274.0,456.0,7.0,205.0
21,06037104124,71000.0,1282.0,4333.0,2210.0,2123.0,2016.0,1319.0,387.0,0.0,257.0
22,06037104201,71447.0,922.0,4377.0,3876.0,501.0,470.0,93.0,297.0,0.0,63.0
23,06037104203,45972.0,1155.0,4874.0,4381.0,493.0,458.0,132.0,209.0,1.0,102.0
24,06037104204,59844.0,754.0,3304.0,2526.0,778.0,741.0,309.0,189.0,0.0,219.0
25,06037104310,90893.0,932.0,4396.0,4153.0,243.0,225.0,69.0,107.0,10.0,26.0
26,06037104321,31645.0,983.0,3009.0,2763.0,246.0,236.0,55.0,84.0,13.0,79.0
27,06037104322,66083.0,469.0,2233.0,2012.0,221.0,203.0,55.0,99.0,7.0,31.0
28,06037104401,59464.0,632.0,3022.0,2872.0,150.0,140.0,83.0,19.0,3.0,13.0
29,06037104403,68929.0,576.0,2947.0,2772.0,175.0,168.0,67.0,11.0,4.0,79.0
30,06037104404,53594.0,761.0,3082.0,2911.0,171.0,150.0,85.0,21.0,7.0,30.0
31,06037104500,65956.0,611.0,3151.0,2954.0,197.0,182.0,102.0,20.0,5.0,44.0
32,06037104610,57188.0,698.0,3645.0,3348.0,297.0,276.0,174.0,54.0,3.0,32.0
33,06037104620,68750.0,694.0,3200.0,3088.0,112.0,103.0,55.0,12.0,11.0,18.0
34,06037104701,42542.0,886.0,4601.0,4336.0,265.0,229.0,63.0,131.0,1.0,31.0
35,06037104703,42589.0,583.0,2572.0,2171.0,401.0,360.0,153.0,93.0,4.0,109.0
36,06037104704,44647.0,1209.0,4760.0,3758.0,1002.0,962.0,281.0,407.0,2.0,239.0
37,06037104821,70655.0,739.0,3498.0,3160.0,338.0,328.0,130.0,47.0,4.0,123.0
38,06037104822,53542.0,650.0,2345.0,2045.0,300.0,280.0,87.0,22.0,0.0,156.0
39,06037104823,90852.0,699.0,3024.0,2387.0,637.0,616.0,178.0,34.0,3.0,383.0
40,06037104824,73365.0,508.0,2207.0,2040.0,167.0,151.0,81.0,21.0,4.0,40.0
41,06037106010,96964.0,932.0,3390.0,2375.0,1015.0,954.0,594.0,118.0,14.0,190.0
42,06037106020,85800.0,1302.0,5557.0,4368.0,1189.0,1123.0,790.0,88.0,17.0,194.0
43,06037106111,107277.0,1349.0,4331.0,2692.0,1639.0,1556.0,1029.0,142.0,18.0,334.0
44,06037106112,96688.0,1345.0,6201.0,4441.0,1760.0,1630.0,917.0,141.0,10.0,532.0
45,06037106113,99952.0,973.0,3939.0,3001.0,938.0,889.0,509.0,86.0,9.0,274.0
46,06037106114,65970.0,1641.0,6643.0,5365.0,1278.0,1218.0,505.0,234.0,7.0,441.0
47,06037106403,82875.0,821.0,3704.0,3282.0,422.0,383.0,260.0,18.0,9.0,86.0
48,06037106405,64490.0,1186.0,3968.0,3146.0,822.0,767.0,411.0,164.0,16.0,157.0
49,06037106406,89059.0,1811.0,6173.0,4477.0,1696.0,1604.0,1012.0,162.0,14.0,387.0
50,06037106407,33125.0,839.0,2909.0,2303.0,606.0,590.0,272.0,200.0,7.0,90.0
51,06037106408,54038.0,988.0,3440.0,3008.0,432.0,403.0,189.0,66.0,22.0,112.0
52,06037106510,85032.0,1717.0,5791.0,3919.0,1872.0,1753.0,974.0,295.0,8.0,442.0
53,06037106520,71435.0,1435.0,5670.0,4975.0,695.0,666.0,470.0,72.0,14.0,87.0
54,06037106603,130806.0,1191.0,2998.0,494.0,2504.0,2395.0,1708.0,91.0,5.0,570.0
55,06037106604,56794.0,1225.0,5378.0,4419.0,959.0,893.0,424.0,190.0,18.0,220.0
56,06037106641,111000.0,768.0,2330.0,296.0,2034.0,1955.0,1520.0,40.0,3.0,378.0
57,06037106642,112273.0,1144.0,3316.0,847.0,2469.0,2324.0,1775.0,91.0,3.0,429.0
58,06037106643,176429.0,1378.0,4084.0,530.0,3554.0,3399.0,2551.0,136.0,3.0,692.0
59,06037106645,114295.0,1289.0,3501.0,630.0,2871.0,2735.0,2152.0,100.0,1.0,456.0
60,06037106646,111758.0,963.0,3367.0,1107.0,2260.0,2161.0,1345.0,99.0,4.0,692.0
61,06037106648,72165.0,1011.0,4815.0,4162.0,653.0,610.0,308.0,124.0,15.0,141.0
62,06037106649,94471.0,665.0,2754.0,1867.0,887.0,848.0,276.0,66.0,0.0,488.0
63,06037107010,71546.0,779.0,3205.0,2934.0,271.0,254.0,162.0,21.0,3.0,57.0
64,06037107020,80739.0,1230.0,5488.0,4629.0,859.0,786.0,326.0,79.0,1.0,353.0
65,06037108101,141250.0,773.0,2324.0,262.0,2062.0,1964.0,1282.0,78.0,0.0,578.0
66,06037108102,109091.0,1148.0,3795.0,501.0,3294.0,3189.0,1869.0,75.0,0.0,1221.0
67,06037108103,130585.0,1000.0,3190.0,393.0,2797.0,2689.0,1818.0,44.0,0.0,810.0
68,06037108104,150125.0,575.0,1692.0,199.0,1493.0,1409.0,944.0,42.0,0.0,413.0
69,06037108202,135603.0,2872.0,8701.0,972.0,7729.0,7292.0,2855.0,379.0,21.0,3973.0
70,06037108203,128646.0,1130.0,3577.0,339.0,3238.0,3115.0,1409.0,136.0,4.0,1538.0
71,06037108204,125536.0,629.0,1857.0,142.0,1715.0,1650.0,644.0,55.0,2.0,944.0
72,06037109100,70000.0,864.0,2958.0,1683.0,1275.0,1244.0,862.0,81.0,13.0,282.0
73,06037109200,111293.0,1004.0,3153.0,1310.0,1843.0,1729.0,946.0,146.0,5.0,612.0
74,06037109300,96339.0,959.0,3120.0,1575.0,1545.0,1440.0,847.0,103.0,8.0,462.0
75,06037109400,83986.0,1151.0,3752.0,2878.0,874.0,822.0,412.0,67.0,13.0,306.0
76,06037109500,53594.0,1027.0,4524.0,4092.0,432.0,377.0,164.0,55.0,10.0,128.0
77,06037109601,95820.0,1346.0,4958.0,3600.0,1358.0,1284.0,662.0,138.0,7.0,472.0
78,06037109603,65060.0,1299.0,4203.0,2750.0,1453.0,1383.0,681.0,135.0,22.0,513.0
79,06037109604,91776.0,891.0,2938.0,1968.0,970.0,918.0,528.0,86.0,14.0,268.0
80,06037109700,103153.0,1451.0,4389.0,1868.0,2521.0,2393.0,1503.0,107.0,13.0,736.0
81,06037109800,87750.0,1519.0,4679.0,2285.0,2394.0,2248.0,1339.0,108.0,4.0,756.0
82,06037111100,107386.0,950.0,3047.0,1312.0,1735.0,1651.0,1096.0,56.0,1.0,472.0
83,06037111201,102266.0,1061.0,3609.0,1169.0,2440.0,2308.0,1677.0,73.0,4.0,526.0
84,06037111202,115799.0,1853.0,5489.0,1780.0,3709.0,3476.0,2461.0,158.0,20.0,788.0
85,06037111204,150732.0,1867.0,5865.0,1074.0,4791.0,4543.0,2927.0,198.0,9.0,1361.0
86,06037111205,67482.0,1327.0,3864.0,853.0,3011.0,2892.0,1338.0,178.0,0.0,1333.0
87,06037111206,122014.0,1423.0,4716.0,1284.0,3432.0,3249.0,2225.0,114.0,10.0,873.0
88,06037111302,62289.0,1853.0,4633.0,1373.0,3260.0,3071.0,1845.0,233.0,9.0,934.0
89,06037111303,98617.0,1446.0,4429.0,1504.0,2925.0,2770.0,1667.0,135.0,9.0,917.0
90,06037111304,57581.0,1258.0,3359.0,1404.0,1955.0,1801.0,805.0,199.0,5.0,764.0
91,06037111401,124946.0,681.0,2406.0,890.0,1516.0,1429.0,840.0,92.0,5.0,472.0
92,06037111402,47967.0,2214.0,5333.0,2045.0,3288.0,3075.0,1947.0,198.0,6.0,871.0
93,06037113101,108587.0,1150.0,3461.0,856.0,2605.0,2416.0,1690.0,125.0,4.0,587.0
94,06037113102,154514.0,957.0,2971.0,545.0,2426.0,2322.0,1693.0,87.0,1.0,519.0
95,06037113211,93571.0,1686.0,4275.0,889.0,3386.0,3194.0,2359.0,180.0,1.0,625.0
96,06037113212,94464.0,957.0,3211.0,928.0,2283.0,2177.0,1353.0,171.0,5.0,628.0
97,06037113213,112222.0,1714.0,4589.0,1347.0,3242.0,3057.0,1783.0,274.0,8.0,963.0
98,06037113231,113929.0,868.0,2254.0,350.0,1904.0,1743.0,1356.0,84.0,3.0,287.0
99,06037113232,126424.0,1492.0,4297.0,923.0,3374.0,3160.0,2227.0,210.0,6.0,687.0
100,06037113234,61580.0,1609.0,4542.0,2367.0,2175.0,2061.0,1027.0,176.0,1.0,834.0
101,06037113235,105333.0,620.0,1815.0,498.0,1317.0,1217.0,1022.0,64.0,7.0,102.0
102,06037113237,116696.0,1593.0,3921.0,1042.0,2879.0,2719.0,1747.0,279.0,7.0,647.0
103,06037113238,57523.0,1409.0,5182.0,3105.0,2077.0,1899.0,784.0,361.0,12.0,693.0
104,06037113239,44698.0,878.0,2259.0,1259.0,1000.0,940.0,561.0,107.0,4.0,253.0
105,06037113301,84975.0,1366.0,3655.0,734.0,2921.0,2751.0,1720.0,300.0,4.0,688.0
106,06037113303,88567.0,1265.0,4160.0,1540.0,2620.0,2451.0,1644.0,111.0,8.0,656.0
107,06037113322,96387.0,1561.0,4251.0,1027.0,3224.0,3069.0,1942.0,191.0,9.0,887.0
108,06037113323,77596.0,1511.0,3927.0,1530.0,2397.0,2239.0,1072.0,211.0,10.0,880.0
109,06037113324,86347.0,1001.0,2072.0,875.0,1197.0,1112.0,510.0,153.0,0.0,428.0
110,06037113423,96108.0,869.0,2639.0,1223.0,1416.0,1339.0,697.0,60.0,1.0,568.0
111,06037113424,89661.0,1065.0,3613.0,1319.0,2294.0,2172.0,1273.0,184.0,6.0,681.0
112,06037113425,55791.0,1365.0,4020.0,2559.0,1461.0,1373.0,584.0,350.0,3.0,400.0
113,06037113426,62443.0,748.0,2479.0,1326.0,1153.0,1059.0,571.0,94.0,0.0,367.0
114,06037113427,55811.0,886.0,3024.0,1658.0,1366.0,1249.0,588.0,187.0,2.0,456.0
115,06037113428,107522.0,1107.0,3397.0,1391.0,2006.0,1892.0,1061.0,138.0,8.0,668.0
116,06037115101,130511.0,1904.0,5112.0,1034.0,4078.0,3853.0,2902.0,162.0,7.0,735.0
117,06037115103,,11.0,2345.0,1056.0,1289.0,1273.0,465.0,510.0,4.0,286.0
118,06037115104,54814.0,2181.0,4409.0,1360.0,3049.0,2875.0,1508.0,308.0,5.0,947.0
119,06037115202,64429.0,2098.0,5189.0,2121.0,3068.0,2859.0,1567.0,316.0,9.0,917.0
120,06037115203,69609.0,1057.0,2793.0,941.0,1852.0,1725.0,856.0,265.0,4.0,564.0
121,06037115204,83176.0,1592.0,4228.0,1365.0,2863.0,2657.0,1461.0,282.0,13.0,868.0
122,06037115301,99938.0,1656.0,4236.0,1136.0,3100.0,2909.0,1764.0,222.0,2.0,880.0
123,06037115302,52679.0,1096.0,4044.0,3048.0,996.0,940.0,418.0,95.0,3.0,416.0
124,06037115401,61875.0,1902.0,5980.0,2980.0,3000.0,2832.0,1740.0,282.0,7.0,768.0
125,06037115403,58013.0,1043.0,3245.0,1799.0,1446.0,1396.0,657.0,218.0,5.0,491.0
126,06037115404,69688.0,862.0,2956.0,1561.0,1395.0,1323.0,579.0,199.0,9.0,514.0
127,06037117101,87014.0,1447.0,5195.0,2235.0,2960.0,2821.0,682.0,276.0,2.0,1836.0
128,06037117102,65833.0,816.0,2733.0,1603.0,1130.0,1078.0,559.0,80.0,5.0,413.0
129,06037117201,50972.0,1191.0,4514.0,2966.0,1548.0,1491.0,556.0,252.0,2.0,626.0
130,06037117202,93214.0,938.0,2711.0,1006.0,1705.0,1606.0,727.0,183.0,5.0,664.0
131,06037117301,116333.0,1102.0,3917.0,1465.0,2452.0,2296.0,1507.0,152.0,7.0,599.0
132,06037117302,104554.0,1601.0,5414.0,1860.0,3554.0,3377.0,2200.0,249.0,3.0,876.0
133,06037117303,101146.0,1172.0,3647.0,1624.0,2023.0,1906.0,1222.0,115.0,6.0,538.0
134,06037117404,109242.0,1392.0,4548.0,1821.0,2727.0,2589.0,1407.0,189.0,1.0,949.0
135,06037117405,40202.0,873.0,3364.0,2919.0,445.0,416.0,147.0,164.0,4.0,80.0
136,06037117407,39397.0,992.0,3482.0,3173.0,309.0,288.0,70.0,86.0,5.0,97.0
137,06037117408,40718.0,735.0,2843.0,2188.0,655.0,618.0,193.0,150.0,7.0,229.0
138,06037117510,45332.0,993.0,4181.0,3451.0,730.0,701.0,254.0,91.0,3.0,320.0
139,06037117520,42738.0,1082.0,3961.0,3338.0,623.0,583.0,157.0,171.0,6.0,228.0
140,06037117530,49886.0,1683.0,5888.0,4284.0,1604.0,1562.0,379.0,224.0,4.0,923.0
141,06037119001,90238.0,1028.0,4024.0,2928.0,1096.0,1043.0,328.0,20.0,20.0,652.0
142,06037119003,94219.0,875.0,3893.0,3470.0,423.0,401.0,171.0,36.0,3.0,182.0
143,06037119004,84028.0,774.0,2830.0,2290.0,540.0,515.0,187.0,21.0,0.0,282.0
144,06037119201,91597.0,861.0,3866.0,3277.0,589.0,546.0,287.0,15.0,0.0,232.0
145,06037119202,75305.0,1108.0,4394.0,3823.0,571.0,557.0,208.0,55.0,8.0,268.0
146,06037119310,61250.0,1277.0,3983.0,2666.0,1317.0,1266.0,474.0,143.0,6.0,617.0
147,06037119320,74792.0,1251.0,4793.0,3303.0,1490.0,1440.0,410.0,159.0,0.0,834.0
148,06037119340,34825.0,1050.0,3600.0,3260.0,340.0,314.0,108.0,87.0,4.0,103.0
149,06037119341,50168.0,857.0,2867.0,1627.0,1240.0,1190.0,320.0,106.0,3.0,755.0
150,06037119342,65149.0,785.0,3076.0,2388.0,688.0,655.0,191.0,70.0,6.0,363.0
151,06037119400,89281.0,1167.0,4881.0,4047.0,834.0,791.0,363.0,57.0,13.0,336.0
152,06037119700,98795.0,1329.0,4893.0,2334.0,2559.0,2479.0,1365.0,39.0,4.0,1041.0
153,06037119801,97738.0,634.0,2933.0,2270.0,663.0,622.0,290.0,17.0,2.0,302.0
154,06037119802,64954.0,819.0,3016.0,2239.0,777.0,744.0,312.0,29.0,3.0,395.0
155,06037119900,84231.0,1296.0,4774.0,2969.0,1805.0,1759.0,579.0,71.0,6.0,1079.0
156,06037120010,52699.0,777.0,2892.0,2188.0,704.0,673.0,263.0,70.0,9.0,303.0
157,06037120020,30669.0,1224.0,4037.0,2958.0,1079.0,1038.0,193.0,58.0,5.0,764.0
158,06037120030,38466.0,705.0,2591.0,2246.0,345.0,328.0,170.0,27.0,6.0,104.0
