COMM_CURRENT,OBJECTID,BG20,CB20,CTCB20,FIP20,BGFIP20,ZCTA20,HD22,SPA22,SUP21,POP20,HOUSING20,FIP_CURRENT,BG20FIP_CURRENT,ShapeSTArea,ShapeSTLength,med_hh_income,med_hh_income_universe,ESRI_OID,Shape__Area,Shape__Length,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
Mandeville Canyon,34689.333333333336,2624001.393939394,1402.060606060606,2624001402.060606,44000.0,262400183393.9394,90163.87878787878,84.0,5.0,3.0,98.24242424242425,39.42424242424242,44000.0,262400183393.9394,3675520.5478534233,9705.946745006371,250001.0,1101.0,3655.0,121143587.917969,72274.4100668942,3242.0,215.0,3027.0,2879.0,2620.0,43.0,4.0,194.0
Palisades Highlands,44116.34782608696,6213101.304347826,1312.608695652174,6213101312.608696,44000.0,621310174434.7826,90273.17391304347,84.0,5.0,3.0,85.02173913043478,33.5,44000.0,621310174434.7826,11199256.045415591,13339.680672496439,225547.5,663.5,4047.0,257801600.31347674,91910.00545974894,1955.5,122.0,1833.5,1725.0,1513.0,16.0,0.0,185.0
Bel Air,39960.5,2621518.0,1877.9354838709678,2621518006.967742,44000.0,262151844000.0,90073.5,84.0,5.0,3.0,124.96774193548387,54.354838709677416,44000.0,262151844000.0,3010372.563959208,8461.191803228872,210502.16129032258,1381.1935483870968,3650.516129032258,93384758.77079135,58382.17968638776,3895.9032258064517,231.38709677419354,3664.516129032258,3441.8387096774195,2948.548387096774,76.0,0.4838709677419355,378.4193548387097
Beverly Crest,43450.232558139534,2611391.7209302327,1379.5116279069769,2611391728.3488374,44000.0,261139216093.02325,90148.45348837209,84.0,5.0,3.0,138.58139534883722,61.98837209302326,44000.0,261139216093.02325,2723717.339761799,7840.320242926249,186773.72093023255,1217.093023255814,3647.686046511628,66116480.8817678,46446.602436746536,3304.1627906976746,220.0581395348837,3084.1046511627906,2901.8488372093025,2557.3953488372094,57.23255813953488,3.6511627906976742,257.56976744186045
Pacific Palisades,48466.10116731517,2626649.194552529,2121.6692607003893,2626649203.381323,44000.0,262664963455.25293,90281.09881422925,84.0,5.0,3.0,81.52529182879377,35.540856031128406,44000.0,262664963455.25293,684890.6667590208,3840.690244902149,179614.8832684825,1566.0311284046693,3658.875486381323,31918984.696007892,30571.906724942175,4211.735408560311,251.75486381322958,3959.9805447470817,3731.0272373540856,3422.0661478599222,29.883268482490273,4.2412451361867705,240.60311284046693
Cheviot Hills,50508.304,2691466.832,2838.368,2691466838.368,44000.0,269146727200.0,90059.096,84.0,5.0,3.0,76.704,31.208,44000.0,269146727200.0,387781.1883415425,2561.6714257707276,169362.416,1825.36,3918.496,24183517.08847656,24477.462062857932,4810.752,448.256,4362.496,4083.192,3481.016,93.912,3.024,466.44
Brentwood,43105.6935483871,2637377.060483871,1624.4233870967741,2637377067.971774,44000.0,263737750048.3871,90054.40725806452,84.0,5.0,3.0,122.31451612903226,62.42741935483871,44000.0,263737750048.3871,1034201.8360970179,3715.787251428798,160235.91532258064,1241.274193548387,3721.0887096774195,26115874.73588714,23495.198878331754,2902.2862903225805,193.65322580645162,2708.6330645161293,2545.701612903226,2262.5241935483873,36.185483870967744,1.1693548387096775,229.8790322580645
Marina Peninsula,48838.052083333336,2742022.21875,2232.46875,2742022232.46875,44000.0,274202265875.0,90292.0,84.0,5.0,2.0,51.072916666666664,31.71875,44000.0,274202265875.0,248177.6394269721,1775.871685598622,155366.0,2324.0,4145.0,10042123.1279297,16499.6556489786,4903.0,459.0,4444.0,4168.0,3604.0,197.0,2.0,320.0
Playa Del Rey,54149.89473684211,2781022.0877192984,2097.4736842105262,2781022097.4736843,44000.0,278102252771.9298,90293.0,84.0,5.0,2.0,51.89473684210526,28.263157894736842,44000.0,278102252771.9298,621115.2550744298,2979.0894615751176,153654.0,1502.0,4171.0,16249113.2763672,24720.6077799523,2958.0,362.0,2596.0,2400.0,2088.0,100.0,3.0,175.0
Beverlywood,47833.81981981982,2675110.864864865,2401.3783783783783,2675110869.846847,44000.0,267511130486.48648,90034.55855855856,84.0,5.0,3.0,116.89189189189189,49.24324324324324,44000.0,267511130486.48648,268490.0734967829,2392.493349882409,147897.54054054053,1577.162162162162,3881.5405405405404,10602459.23775338,14360.619668899722,4239.153153153153,345.52252252252254,3893.6306306306305,3678.864864864865,3221.4594594594596,94.16216216216216,4.351351351351352,299.43243243243245
